epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,207.254,1.06981,0.77785,1.32768,0.53749,0.52778,0.50141,0.24306,1.82187,1.36518,2.60255,0.00147927,0.00147927,0.00147927
93,209.4,1.02983,0.76031,1.28721,0.47454,0.32882,0.35141,0.20666,1.95792,1.83252,2.45668,0.00147721,0.00147721,0.00147721
94,211.502,0.98844,0.71638,1.27784,0.33329,0.58333,0.35428,0.21437,1.9099,1.82483,2.37325,0.00147515,0.00147515,0.00147515
95,213.601,1.04004,0.72214,1.31775,0.70426,0.50881,0.54298,0.36829,1.69679,1.62038,2.08347,0.00147309,0.00147309,0.00147309
96,215.767,1.06447,0.75958,1.33229,0.69804,0.47222,0.52797,0.32454,1.81044,1.90932,2.32963,0.00147102,0.00147102,0.00147102
97,217.888,1.05046,0.73579,1.32723,0.88814,0.5,0.56382,0.34001,1.8575,1.76576,2.39963,0.00146896,0.00146896,0.00146896
98,220.008,0.97468,0.71893,1.25354,0.50239,0.5,0.46078,0.24827,1.8308,1.85277,2.40362,0.0014669,0.0014669,0.0014669
99,222.13,0.93639,0.68932,1.25407,0.33479,0.45611,0.25184,0.10611,1.91389,3.52263,2.43837,0.00146483,0.00146483,0.00146483
100,224.188,0.94314,0.71661,1.25838,0.16556,0.47222,0.18647,0.05751,2.13765,3.8695,2.65154,0.00146277,0.00146277,0.00146277
101,226.358,0.93364,0.64898,1.24534,0.45114,0.38824,0.26916,0.13581,1.89757,2.85234,2.39478,0.00146071,0.00146071,0.00146071
102,228.515,0.9492,0.69963,1.24544,0.44443,0.55556,0.40099,0.23442,1.68992,1.85522,2.08312,0.00145865,0.00145865,0.00145865
103,230.613,0.95939,0.70292,1.22602,0.53618,0.46706,0.40105,0.24123,2.054,1.85237,2.37897,0.00145658,0.00145658,0.00145658
104,232.714,0.90675,0.67124,1.22313,0.84143,0.54861,0.59639,0.41392,1.8588,1.38011,2.36102,0.00145452,0.00145452,0.00145452
105,234.869,0.9152,0.68589,1.22804,0.6099,0.62747,0.67831,0.46984,1.46455,1.23638,2.0218,0.00145246,0.00145246,0.00145246
106,236.985,0.91383,0.70634,1.22255,0.31068,0.61111,0.38449,0.22922,1.5629,1.90871,2.10251,0.00145039,0.00145039,0.00145039
107,239.122,0.9008,0.6743,1.22375,0.27603,0.77689,0.3125,0.16789,1.91889,2.48916,2.33746,0.00144833,0.00144833,0.00144833
108,241.246,0.94609,0.63251,1.26723,0.33387,0.80341,0.39948,0.21808,1.93963,2.16747,2.43269,0.00144627,0.00144627,0.00144627
